Feature,Importance
categorical__Crop_Growth_Stage_Harvest,0.13032891
categorical__Crop_Growth_Stage_Sowing,0.12658177
categorical__Mulching_Used_No,0.11531558
numeric__Soil_Moisture,0.103949495
numeric__Wind_Speed_kmh,0.09173064
numeric__Rainfall_mm,0.07384275
numeric__Temperature_C,0.0718073
categorical__Crop_Growth_Stage_Flowering,0.07083544
categorical__Crop_Growth_Stage_Vegetative,0.06858108
categorical__Mulching_Used_Yes,0.06489809
categorical__Region_Central,0.004901532
categorical__Season_Kharif,0.0041228803
categorical__Irrigation_Type_Drip,0.0041204817
categorical__Season_Rabi,0.004050284
categorical__Region_West,0.0037796276
categorical__Crop_Type_Sugarcane,0.003669646
categorical__Soil_Type_Sandy,0.003660835
numeric__Organic_Carbon,0.0030964569
categorical__Soil_Type_Loamy,0.003079672
categorical__Irrigation_Type_Canal,0.0030367628
numeric__Field_Area_hectare,0.0029235936
categorical__Water_Source_Groundwater,0.0029041437
categorical__Region_South,0.0028599552
numeric__Humidity,0.002810776
categorical__Soil_Type_Silt,0.0026047132
categorical__Crop_Type_Wheat,0.0024932292
numeric__Sunlight_Hours,0.002296832
numeric__Soil_pH,0.0022722094
categorical__Water_Source_Rainwater,0.0022584088
numeric__Previous_Irrigation_mm,0.0022267136
categorical__Region_North,0.0021886558
categorical__Crop_Type_Potato,0.0021793968
categorical__Region_East,0.002020053
categorical__Irrigation_Type_Sprinkler,0.0019398432
numeric__Electrical_Conductivity,0.0018881743
categorical__Water_Source_River,0.0016714139
categorical__Irrigation_Type_Rainfed,0.0014597373
categorical__Crop_Type_Rice,0.0012488539
categorical__Soil_Type_Clay,0.0011015103
categorical__Water_Source_Reservoir,0.0010087751
categorical__Crop_Type_Cotton,0.0007975203
categorical__Crop_Type_Maize,0.00075457705
categorical__Season_Zaid,0.00070158765
